ticker,auc_test,auc_train,acc_test,acc_train
MTSI,0.44914304394526694,0.7021288772740382,0.477891156462585,0.6491379310344828
FAST,0.5444700591985427,0.6048659763601445,0.5596330275229358,0.5783365570599613
ETR,0.5385219758121089,0.5908245364902951,0.4938837920489297,0.5709864603481625
FLT,0.5229477192719647,0.6617874653177647,0.5168195718654435,0.5779497098646035
WU,0.6291963521029995,0.6090452646298368,0.4602446483180428,0.5431334622823984
ORCL,0.55386535316196,0.5879672299027138,0.5611620795107034,0.5686653771760155
VZ,0.5679812834224599,0.5988617228464419,0.48623853211009177,0.5667311411992263
CNP,0.45819967266775774,0.6021103560384173,0.5045871559633027,0.4943907156673114
EA,0.4573506289308176,0.6357757172613049,0.47706422018348627,0.5841392649903289
BBY,0.4533045234628212,0.6448011131377301,0.45565749235474007,0.5655705996131528
PWSC,0.7391509433962264,0.7766215747485259,0.5698924731182796,0.5454545454545454
LMT,0.559375,0.6019482861411863,0.5626911314984709,0.5918762088974855
SWKS,0.536953414179281,0.6980971699373062,0.5091743119266054,0.632495164410058
TAP,0.5725188323917138,0.6358770546661829,0.5611620795107034,0.5965183752417795
CHKP,0.5192208643536077,0.6342647722825924,0.5091743119266054,0.5914893617021276
KDP,0.5297966683228184,0.7019123576922419,0.5168195718654435,0.6011605415860735
MCO,0.549549887471868,0.624536514296121,0.5259938837920489,0.5783365570599613
JNPR,0.5565647683903316,0.6193775356564049,0.4785932721712538,0.5736943907156673
DUK,0.5479221423026199,0.6471964884525605,0.4877675840978593,0.5969052224371373
PPG,0.5645536384096024,0.6158861168352635,0.5244648318042814,0.581431334622824
HSY,0.6309267696932688,0.6200842492440102,0.5978593272171254,0.5779497098646035
UNP,0.6161726834293207,0.61639105269243,0.4831804281345566,0.5636363636363636
CARR,0.6967238211879975,0.7340546989909795,0.6687116564417178,0.6185897435897436
MNST,0.49595959595959593,0.6136709179736481,0.4969418960244648,0.6019342359767892
OWL,0.823641304347826,0.6806701719989305,0.4126984126984127,0.5949367088607594
EXC,0.5723793521013057,0.6184708885406562,0.5336391437308868,0.5686653771760155
NKE,0.44881041588609966,0.6293353846450519,0.4801223241590214,0.5663442940038684
